experiment,model,dataset,variant,first,second,abs_diff,threshold
device: CPU vs T4,fuse_concat,lipophilicity,deepchem,0.7285544486401012,0.7354338066723973,0.006879358032296112,0.1
device: CPU vs T4,fuse_concat,lipophilicity,seed0,0.672191680340116,0.6999031297567317,0.02771144941661574,0.1
device: CPU vs T4,fuse_concat,lipophilicity,seed1,0.6607241923816194,0.6988329760254568,0.03810878364383741,0.1
device: CPU vs T4,fuse_concat,lipophilicity,seed2,0.7254095109945554,0.7078775083377957,0.017532002656759693,0.1
device: CPU vs T4,fuse_concat,lipophilicity,seed3,0.6885948971205778,0.6699007955251719,0.018694101595405854,0.1
device: CPU vs T4,fuse_concat,lipophilicity,seed4,0.6789373920411852,0.6829145269471274,0.003977134905942203,0.1
device: CPU vs T4,fuse_concat,freesolv,deepchem,2.142055688462839,2.349231217904732,0.20717552944189332,0.1
device: CPU vs T4,fuse_concat,freesolv,seed0,0.9322932450065068,1.0049828075720626,0.07268956256555581,0.1
device: CPU vs T4,fuse_concat,freesolv,seed1,0.9354960429614728,1.272741649120674,0.3372456061592012,0.1
device: CPU vs T4,fuse_concat,freesolv,seed2,0.9046029879422484,0.7741337679396059,0.1304692200026425,0.1
device: CPU vs T4,fuse_concat,freesolv,seed3,1.2981603516105058,1.315038080530316,0.016877728919810098,0.1
device: CPU vs T4,fuse_concat,freesolv,seed4,0.8433031067483773,0.8720595867476485,0.028756479999271223,0.1
device: CPU vs T4,fuse_xattn,tox21,deepchem,0.7548448023955259,0.7466200298656744,0.008224772529851432,0.02
device: CPU vs T4,fuse_xattn,tox21,seed0,0.7983862898641677,0.8282685421324741,0.02988225226830643,0.02
device: CPU vs T4,fuse_xattn,tox21,seed1,0.8265640460174244,0.8151722873929342,0.011391758624490156,0.02
device: CPU vs T4,fuse_xattn,tox21,seed2,0.7832922991809483,0.8043216322018661,0.021029333020917806,0.02
device: CPU vs T4,fuse_xattn,tox21,seed3,0.843648725362407,0.8457217702393264,0.0020730448769193943,0.02
device: CPU vs T4,fuse_xattn,tox21,seed4,0.8209378053109747,0.8307436569670691,0.009805851656094378,0.02
device: CPU vs T4,fuse_xattn,bbbp,deepchem,0.7499759129010503,0.7273340398882358,0.022641873012814506,0.02
device: CPU vs T4,fuse_xattn,bbbp,seed0,0.9132323733862958,0.8867924528301887,0.02643992055610711,0.02
device: CPU vs T4,fuse_xattn,bbbp,seed1,0.943047619047619,0.9411428571428572,0.0019047619047618536,0.02
device: CPU vs T4,fuse_xattn,bbbp,seed2,0.9536716041601008,0.9541443428931612,0.00047273873306041825,0.02
device: CPU vs T4,fuse_xattn,bbbp,seed3,0.9600301659125188,0.9626696832579186,0.0026395173453998,0.02
device: CPU vs T4,fuse_xattn,bbbp,seed4,0.9586619924043236,0.948729184925504,0.009932807478819639,0.02
device: CPU vs T4,fuse_xattn,clintox,deepchem,0.9899445660862616,0.9861719320196016,0.0037726340666599523,0.02
device: CPU vs T4,fuse_xattn,clintox,seed0,0.9562888198757764,0.9847826086956522,0.028493788819875743,0.02
device: CPU vs T4,fuse_xattn,clintox,seed1,0.9815217391304348,0.992391304347826,0.01086956521739113,0.02
device: CPU vs T4,fuse_xattn,clintox,seed2,1.0,0.9991319444444444,0.0008680555555555802,0.02
device: CPU vs T4,fuse_xattn,clintox,seed3,0.941880341880342,0.9213675213675214,0.02051282051282055,0.02
device: CPU vs T4,fuse_xattn,clintox,seed4,0.9379577675532114,0.9541250514345564,0.01616728388134503,0.02
device: CPU vs T4,fuse_xattn,bace,deepchem,0.8170289855072463,0.8123188405797103,0.004710144927536075,0.02
device: CPU vs T4,fuse_xattn,bace,seed0,0.78540247948315,0.7567661952156451,0.028636284267504863,0.02
device: CPU vs T4,fuse_xattn,bace,seed1,0.8727902314561691,0.8777109531620193,0.004920721705850228,0.02
device: CPU vs T4,fuse_xattn,bace,seed2,0.9038884812912692,0.8664710198092442,0.03741746148202496,0.02
device: CPU vs T4,fuse_xattn,bace,seed3,0.9129004329004328,0.9094372294372294,0.0034632034632033903,0.02
device: CPU vs T4,fuse_xattn,bace,seed4,0.8124675324675324,0.7767965367965368,0.03567099567099563,0.02
device: CPU vs T4,fuse_xattn,sider,deepchem,0.5970706088783552,0.5539395408404215,0.04313106803793365,0.02
device: CPU vs T4,fuse_xattn,sider,seed0,0.5693959088306967,0.5482037545240658,0.021192154306630906,0.02
device: CPU vs T4,fuse_xattn,sider,seed1,0.5781174435107445,0.5637022566369494,0.01441518687379506,0.02
device: CPU vs T4,fuse_xattn,sider,seed2,0.6413897655243235,0.5937528036325884,0.04763696189173505,0.02
device: CPU vs T4,fuse_xattn,sider,seed3,0.5713140033598754,0.6030480747070924,0.03173407134721706,0.02
device: CPU vs T4,fuse_xattn,sider,seed4,0.5978437323282562,0.5816594220166506,0.01618431031160561,0.02
device: CPU vs T4,fuse_xattn,esol,deepchem,0.8705162447954008,0.8354036851262554,0.03511255966914539,0.1
device: CPU vs T4,fuse_xattn,esol,seed0,0.902295640815501,0.8158348210733541,0.08646081974214681,0.1
device: CPU vs T4,fuse_xattn,esol,seed1,0.8529299089148644,0.8710279836478023,0.018098074732937897,0.1
device: CPU vs T4,fuse_xattn,esol,seed2,0.7142919599134948,0.7936355481355858,0.07934358822209098,0.1
device: CPU vs T4,fuse_xattn,esol,seed3,0.8445719818345729,0.7276436136335928,0.11692836820098018,0.1
device: CPU vs T4,fuse_xattn,esol,seed4,0.9355008932356164,0.8762084236819343,0.05929246955368206,0.1
device: CPU vs T4,fuse_xattn,lipophilicity,deepchem,0.719585137234137,0.7313044435153363,0.011719306281199326,0.1
device: CPU vs T4,fuse_xattn,lipophilicity,seed0,0.750556578381197,0.7105522833880334,0.0400042949931636,0.1
device: CPU vs T4,fuse_xattn,lipophilicity,seed1,0.6928418459126093,0.6552747401346861,0.037567105777923215,0.1
device: CPU vs T4,fuse_xattn,lipophilicity,seed2,0.7055890100474472,0.6955222497516408,0.010066760295806443,0.1
device: CPU vs T4,fuse_xattn,lipophilicity,seed3,0.7153611441817095,0.7147858155593791,0.00057532862233034,0.1
device: CPU vs T4,fuse_xattn,lipophilicity,seed4,0.7081028186993558,0.7038637204403765,0.004239098258979279,0.1
device: CPU vs T4,fuse_xattn,freesolv,deepchem,2.168538782959428,2.1610215441485114,0.007517238810916371,0.1
device: CPU vs T4,fuse_xattn,freesolv,seed0,0.9631137096804816,0.9440667329837822,0.019046976696699414,0.1
device: CPU vs T4,fuse_xattn,freesolv,seed1,1.0317949710380248,1.2210329548922685,0.18923798385424373,0.1
device: CPU vs T4,fuse_xattn,freesolv,seed2,0.7099090593768498,0.6907032019183147,0.01920585745853509,0.1
device: CPU vs T4,fuse_xattn,freesolv,seed3,1.2199331009435614,1.228819671709996,0.00888657076643451,0.1
device: CPU vs T4,fuse_xattn,freesolv,seed4,0.7848333022778958,0.6607984513107866,0.1240348509671092,0.1
device: CPU vs T4,fuse_bilinear,tox21,deepchem,0.7602946884378166,0.7485390940669198,0.011755594370896794,0.02
device: CPU vs T4,fuse_bilinear,tox21,seed0,0.8395662649975156,0.8284899623319437,0.011076302665571913,0.02
device: CPU vs T4,fuse_bilinear,tox21,seed1,0.8291013143007802,0.8228473909042346,0.006253923396545513,0.02
device: CPU vs T4,fuse_bilinear,tox21,seed2,0.7860999787074654,0.8014570037152159,0.015357025007750491,0.02
device: CPU vs T4,fuse_bilinear,tox21,seed3,0.8376096819089064,0.8342831059838972,0.0033265759250091786,0.02
device: CPU vs T4,fuse_bilinear,tox21,seed4,0.840981117546349,0.84223291778437,0.0012518002380210724,0.02
device: CPU vs T4,fuse_bilinear,bbbp,deepchem,0.7618267655843529,0.7427497832161094,0.01907698236824351,0.02
device: CPU vs T4,fuse_bilinear,bbbp,seed0,0.9150943396226416,0.9213008937437934,0.006206554121151786,0.02
device: CPU vs T4,fuse_bilinear,bbbp,seed1,0.944952380952381,0.9514285714285716,0.006476190476190635,0.02
device: CPU vs T4,fuse_bilinear,bbbp,seed2,0.9519382288055468,0.952410967538607,0.0004727387330601962,0.02
device: CPU vs T4,fuse_bilinear,bbbp,seed3,0.9708396178984416,0.9675716440422322,0.003267973856209472,0.02
device: CPU vs T4,fuse_bilinear,bbbp,seed4,0.9653812445223487,0.9544259421560036,0.010955302366345121,0.02
device: CPU vs T4,fuse_bilinear,clintox,deepchem,0.9294477461509052,0.8981797170958885,0.03126802905501669,0.02
device: CPU vs T4,fuse_bilinear,clintox,seed0,0.9760869565217392,0.9851449275362318,0.009057971014492683,0.02
device: CPU vs T4,fuse_bilinear,clintox,seed1,0.9963768115942028,0.997463768115942,0.0010869565217391797,0.02
device: CPU vs T4,fuse_bilinear,clintox,seed2,1.0,1.0,0.0,0.02
device: CPU vs T4,fuse_bilinear,clintox,seed3,0.9532763532763532,0.9592592592592591,0.005982905982905962,0.02
device: CPU vs T4,fuse_bilinear,clintox,seed4,0.9246913926607564,0.9758809336774772,0.051189541016720796,0.02
device: CPU vs T4,fuse_bilinear,bace,deepchem,0.8157608695652173,0.784963768115942,0.030797101449275277,0.02
device: CPU vs T4,fuse_bilinear,bace,seed0,0.7806879692683779,0.7717827833071417,0.00890518596123624,0.02
device: CPU vs T4,fuse_bilinear,bace,seed1,0.8857299070530344,0.867505011846182,0.018224895206852443,0.02
device: CPU vs T4,fuse_bilinear,bace,seed2,0.8928833455612619,0.911041819515774,0.01815847395451209,0.02
device: CPU vs T4,fuse_bilinear,bace,seed3,0.9090909090909092,0.9305627705627706,0.02147186147186142,0.02
device: CPU vs T4,fuse_bilinear,bace,seed4,0.7880519480519481,0.763982683982684,0.02406926406926413,0.02
device: CPU vs T4,fuse_bilinear,sider,deepchem,0.5868255011784405,0.588533528504049,0.0017080273256085965,0.02
device: CPU vs T4,fuse_bilinear,sider,seed0,0.5601245420395171,0.6190357662536973,0.05891122421418016,0.02
device: CPU vs T4,fuse_bilinear,sider,seed1,0.5931332325537357,0.6232879997416317,0.030154767187896003,0.02
device: CPU vs T4,fuse_bilinear,sider,seed2,0.6572456215644038,0.6400744101382063,0.017171211426197486,0.02
device: CPU vs T4,fuse_bilinear,sider,seed3,0.6232900612236099,0.6388638278393548,0.015573766615744944,0.02
device: CPU vs T4,fuse_bilinear,sider,seed4,0.6450115452493479,0.6460059273514362,0.0009943821020883536,0.02
device: CPU vs T4,fuse_bilinear,esol,deepchem,0.8356608312285967,0.8247774477553703,0.010883383473226371,0.1
device: CPU vs T4,fuse_bilinear,esol,seed0,0.9261164534948908,0.8690325871810862,0.05708386631380458,0.1
device: CPU vs T4,fuse_bilinear,esol,seed1,0.9234984194654792,0.9812709406324692,0.057772521166990054,0.1
device: CPU vs T4,fuse_bilinear,esol,seed2,0.7508980981545346,0.7402265453456068,0.010671552808927731,0.1
device: CPU vs T4,fuse_bilinear,esol,seed3,0.6690294043541878,0.6635886207942213,0.005440783559966467,0.1
device: CPU vs T4,fuse_bilinear,esol,seed4,0.8646466851836834,0.8880733031246533,0.023426617940969896,0.1
device: CPU vs T4,fuse_bilinear,lipophilicity,deepchem,0.7317998631102425,0.773121135511369,0.041321272401126485,0.1
device: CPU vs T4,fuse_bilinear,lipophilicity,seed0,0.6581390368975862,0.6868765002134196,0.028737463315833378,0.1
device: CPU vs T4,fuse_bilinear,lipophilicity,seed1,0.6756804115480853,0.6808118229716925,0.0051314114236071795,0.1
device: CPU vs T4,fuse_bilinear,lipophilicity,seed2,0.7232408326271415,0.7155508324122893,0.007690000214852111,0.1
device: CPU vs T4,fuse_bilinear,lipophilicity,seed3,0.6847701128946573,0.6835467879594231,0.001223324935234138,0.1
device: CPU vs T4,fuse_bilinear,lipophilicity,seed4,0.6788164436078661,0.6889487895086203,0.01013234590075418,0.1
device: CPU vs T4,fuse_bilinear,freesolv,deepchem,2.015009634255549,2.0156002918327105,0.0005906575771614797,0.1
device: CPU vs T4,fuse_bilinear,freesolv,seed0,1.0980811299571096,0.966702594503186,0.13137853545392364,0.1
device: CPU vs T4,fuse_bilinear,freesolv,seed1,1.4095705636830198,1.0519987252036471,0.3575718384793727,0.1
device: CPU vs T4,fuse_bilinear,freesolv,seed2,0.8168474622245148,0.7249135842940472,0.09193387793046759,0.1
device: CPU vs T4,fuse_bilinear,freesolv,seed3,1.189985349329113,1.3165639529617004,0.12657860363258733,0.1
device: CPU vs T4,fuse_bilinear,freesolv,seed4,0.6717045975924975,0.8176464162031069,0.1459418186106094,0.1
device: CPU vs T4,fuse_proposed,tox21,deepchem,0.7410048537348222,0.73749987394764,0.0035049797871821164,0.02
device: CPU vs T4,fuse_proposed,tox21,seed0,0.8074095161090827,0.8281110939770678,0.0207015778679851,0.02
device: CPU vs T4,fuse_proposed,tox21,seed1,0.8277159326434317,0.819368118003772,0.008347814639659723,0.02
device: CPU vs T4,fuse_proposed,tox21,seed2,0.8072477590899144,0.7953069500721734,0.011940809017740972,0.02
device: CPU vs T4,fuse_proposed,tox21,seed3,0.8422663770743611,0.8441773635886344,0.0019109865142732385,0.02
device: CPU vs T4,fuse_proposed,tox21,seed4,0.8392987011108098,0.8418754174062165,0.002576716295406678,0.02
device: CPU vs T4,fuse_proposed,bbbp,deepchem,0.7596107524809712,0.7523846227960304,0.007226129684940852,0.02
device: CPU vs T4,fuse_proposed,bbbp,seed0,0.9116186693147964,0.8995779543197616,0.012040714995034785,0.02
device: CPU vs T4,fuse_proposed,bbbp,seed1,0.9603809523809524,0.9582857142857144,0.002095238095238039,0.02
device: CPU vs T4,fuse_proposed,bbbp,seed2,0.9670658682634732,0.9478411597856916,0.01922470847778157,0.02
device: CPU vs T4,fuse_proposed,bbbp,seed3,0.9659376571141276,0.9689542483660132,0.003016591251885581,0.02
device: CPU vs T4,fuse_proposed,bbbp,seed4,0.9611451942740288,0.9653812445223487,0.004236050248319967,0.02
device: CPU vs T4,fuse_proposed,clintox,deepchem,0.9869339311159768,0.9803635352587496,0.006570395857227185,0.02
device: CPU vs T4,fuse_proposed,clintox,seed0,0.9845561594202898,0.9489130434782608,0.03564311594202907,0.02
device: CPU vs T4,fuse_proposed,clintox,seed1,0.9590579710144927,0.9880434782608696,0.02898550724637683,0.02
device: CPU vs T4,fuse_proposed,clintox,seed2,1.0,1.0,0.0,0.02
device: CPU vs T4,fuse_proposed,clintox,seed3,0.9452991452991452,0.9623931623931624,0.017094017094017255,0.02
device: CPU vs T4,fuse_proposed,clintox,seed4,0.9509978303968878,0.9638312198406463,0.012833389443758558,0.02
device: CPU vs T4,fuse_proposed,bace,deepchem,0.811231884057971,0.791304347826087,0.019927536231883924,0.02
device: CPU vs T4,fuse_proposed,bace,seed0,0.7908154356556661,0.7766719050113498,0.014143530644316393,0.02
device: CPU vs T4,fuse_proposed,bace,seed1,0.8935666119919812,0.8942956078002551,0.0007289958082739023,0.02
device: CPU vs T4,fuse_proposed,bace,seed2,0.8934336023477623,0.9081071166544388,0.014673514306676516,0.02
device: CPU vs T4,fuse_proposed,bace,seed3,0.915151515151515,0.904069264069264,0.011082251082251027,0.02
device: CPU vs T4,fuse_proposed,bace,seed4,0.7934199134199134,0.7934199134199134,0.0,0.02
device: CPU vs T4,fuse_proposed,sider,deepchem,0.6141611960109704,0.6042742671331621,0.009886928877808288,0.02
device: CPU vs T4,fuse_proposed,sider,seed0,0.6430424270633975,0.6159721106476811,0.027070316415716444,0.02
device: CPU vs T4,fuse_proposed,sider,seed1,0.6247913962677109,0.6044230261429901,0.020368370124720703,0.02
device: CPU vs T4,fuse_proposed,sider,seed2,0.6476870183142538,0.6418207552233721,0.005866263090881674,0.02
device: CPU vs T4,fuse_proposed,sider,seed3,0.6326514155822409,0.6144860235003661,0.018165392081874843,0.02
device: CPU vs T4,fuse_proposed,sider,seed4,0.6420242040221757,0.6452717981926737,0.003247594170497914,0.02
device: CPU vs T4,fuse_proposed,esol,deepchem,0.8720270837077997,0.809046339954292,0.0629807437535077,0.1
device: CPU vs T4,fuse_proposed,esol,seed0,0.8061553743490892,0.8329562573311935,0.026800882982104257,0.1
device: CPU vs T4,fuse_proposed,esol,seed1,0.8369767745597664,0.8855332031743424,0.048556428614575986,0.1
device: CPU vs T4,fuse_proposed,esol,seed2,0.7262910872425017,0.7686436609171206,0.042352573674618865,0.1
device: CPU vs T4,fuse_proposed,esol,seed3,0.6730135820205876,0.756943090034005,0.08392950801341736,0.1
device: CPU vs T4,fuse_proposed,esol,seed4,0.8736742694660329,0.8070683690627077,0.06660590040332515,0.1
device: CPU vs T4,fuse_proposed,lipophilicity,deepchem,0.7085877031702383,0.7200440021268255,0.011456298956587174,0.1
device: CPU vs T4,fuse_proposed,lipophilicity,seed0,0.6600067849605811,0.6989239477697615,0.03891716280918045,0.1
device: CPU vs T4,fuse_proposed,lipophilicity,seed1,0.6815234795290656,0.662984455607477,0.01853902392158857,0.1
device: CPU vs T4,fuse_proposed,lipophilicity,seed2,0.7351760465455754,0.7224456981275221,0.012730348418053317,0.1
device: CPU vs T4,fuse_proposed,lipophilicity,seed3,0.6900158398694575,0.6867977596197185,0.0032180802497390193,0.1
device: CPU vs T4,fuse_proposed,lipophilicity,seed4,0.6766623194471484,0.6691687999614492,0.007493519485699207,0.1
device: CPU vs T4,fuse_proposed,freesolv,deepchem,1.896624723880868,1.870527244465374,0.026097479415494007,0.1
device: CPU vs T4,fuse_proposed,freesolv,seed0,0.9880731770798888,1.0108399421762009,0.022766765096312036,0.1
device: CPU vs T4,fuse_proposed,freesolv,seed1,1.0291708002329696,1.3584293825973677,0.3292585823643981,0.1
device: CPU vs T4,fuse_proposed,freesolv,seed2,0.6954258223287421,0.7950199816651687,0.09959415933642668,0.1
device: CPU vs T4,fuse_proposed,freesolv,seed3,1.2583389584035325,1.1887491257063545,0.069589832697178,0.1
device: CPU vs T4,fuse_proposed,freesolv,seed4,0.8084335382246698,0.7446148991256996,0.06381863909897023,0.1
"seed: 42 vs 43, same CPU",desc,tox21,deepchem,0.7567074839141498,0.7343399988087788,0.02236748510537101,0.02
"seed: 42 vs 43, same CPU",desc,tox21,seed0,0.8394685074553722,0.8400117308190457,0.0005432233636735173,0.02
